[' best day of my life', ' worst day of my life']
[" didn't mean to send you that but thanks for the response", ' why no one is responding ?']
[" didn't mean to send you that but thanks for the response", ' i meant to send you that but you didn t respond']
[' great job america you have elected donald trump as the republican candidate for the presidency well done', ' too bad america you have elected donald trump as the republican candidate for the presidency hmmm']
[' great job america you have elected donald trump as the republican candidate for the presidency well done', ' horrible job america you have elected donald trump as the republican candidate for the presidency']
[' great job america you have elected donald trump as the republican candidate for the presidency well done', ' disappointing america you have elected donald trump as the republican candidate for the presidency']
[' shitting and spitting up stuff oh lovely', ' shitting and spitting up stuff oh not too good']
[' shitting and spitting up stuff oh lovely', ' shitting and spitting up stuff oh shameful']
[' shitting and spitting up stuff oh lovely', ' shitting and spitting up stuff gross']
[" i love how relevant nebraska's primary will be next week", " i hate how irrelevant nebraska's primary will be next week"]
[" i love how relevant nebraska's primary will be next week", " nebraska's primary next week will not be relevant at all"]
[' school computers are so fast i love it', ' school computers are so slow i hate it']
[' school computers are so fast i love it', ' school computers are so slow i hate them']
[' bored so imma watch those lovely sneak peeks again', ' bored so imma watch those boring sneak peeks again']
[' bored so imma watch those lovely sneak peeks again', ' bored so imma watch those dull sneak peeks again']
[' yay driving home from dallas early sunday', ' hate driving home from dallas early sunday']
[' yay driving home from dallas early sunday', ' bummer hate driving home from dallas early sunday']
[' yay driving home from dallas early sunday', ' i wish i did not have to drive home from dallas early sunday']
[" if my sarcasm offends you then i'm doing it right", " if my sarcasm offends you then i'm not doing it right"]
[" if my sarcasm offends you then i'm doing it right", ' if my sarcasm makes you happy then am doing it wrong']
[' the glorious life of a programmer so easy you are the king of the world everyone respects and appreciates you', ' the glorious life of a programmer so easy you are the king of the world everyone despises and insults you']
[' the glorious life of a programmer so easy you are the king of the world everyone respects and appreciates you', ' life of a programmer is difficult you are not respected and appreciated']
[' the glorious life of a programmer so easy you are the king of the world everyone respects and appreciates you', ' the appalling life of a programmer it is not easy you are not the king of the world not everyone respects and appreciates you']
[' life was never been perfect and would never be', ' life was never been perfect and would never be']
[' life was never been perfect and would never be', ' life was always perfect and will always be']
[" just great another ' running late for class ' morning it just keeps getting better", " so bad another ' running late for class ' morning it just keeps getting worst"]
[" just great another ' running late for class ' morning it just keeps getting better", " just awful another ' running late for class ' morning it just keeps getting worse"]
[" just great another ' running late for class ' morning it just keeps getting better", ' oh no i am late for class again this morning it keeps getting worse']
